FUNIT: Hz
UNIT: dB
1.000000e+07 [-20.27, -75.63] [-20.07, -74.63] [-19.87, -73.63]
3.517665e+08 [-21.46, -37.48] [-21.26, -36.48] [-21.06, -35.48]
3.652000e+08 [-21.49, -134.94] [-21.29, -133.94] [-21.09, -132.94]
3.791466e+08 [-21.51, 123.92] [-21.31, 124.92] [-21.11, 125.92]
3.936258e+08 [-21.55, 18.82] [-21.35, 19.82] [-21.15, 20.82]
4.086579e+08 [-21.55, -90.14] [-21.35, -89.14] [-21.15, -88.14]
4.242641e+08 [-21.58, 156.61] [-21.38, 157.61] [-21.18, 158.61]
4.404662e+08 [-21.60, 38.91] [-21.40, 39.91] [-21.20, 40.91]
4.572871e+08 [-21.63, -83.14] [-21.43, -82.14] [-21.23, -81.14]
4.747504e+08 [-21.67, 150.22] [-21.47, 151.22] [-21.27, 152.22]
4.928806e+08 [-21.67, 18.72] [-21.47, 19.72] [-21.27, 20.72]
5.117031e+08 [-21.71, -117.87] [-21.51, -116.87] [-21.31, -115.87]
5.312445e+08 [-21.74, 100.25] [-21.54, 101.25] [-21.34, 102.25]
5.515321e+08 [-21.80, -46.86] [-21.60, -45.86] [-21.40, -44.86]
5.725945e+08 [-21.79, 160.50] [-21.59, 161.50] [-21.39, 162.50]
5.944612e+08 [-21.83, 1.89] [-21.63, 2.89] [-21.43, 3.89]
6.171630e+08 [-21.84, -163.03] [-21.64, -162.03] [-21.44, -161.03]
6.407317e+08 [-21.90, 26.23] [-21.70, 27.23] [-21.50, 28.23]
6.652006e+08 [-21.91, -151.25] [-21.71, -150.25] [-21.51, -149.25]
6.906038e+08 [-21.92, 24.38] [-21.72, 25.38] [-21.52, 26.38]
7.169772e+08 [-21.98, -166.90] [-21.78, -165.90] [-21.58, -164.90]
7.443577e+08 [-22.02, -5.39] [-21.82, -4.39] [-21.62, -3.39]
7.727839e+08 [-22.01, 148.31] [-21.81, 149.31] [-21.61, 150.31]
8.022956e+08 [-22.08, -65.73] [-21.88, -64.73] [-21.68, -63.73]
8.329344e+08 [-22.12, 72.10] [-21.92, 73.10] [-21.72, 74.10]
8.647432e+08 [-22.13, -158.79] [-21.93, -157.79] [-21.73, -156.79]
8.977667e+08 [-22.21, -38.26] [-22.01, -37.26] [-21.81, -36.26]
9.320514e+08 [-22.19, 73.34] [-21.99, 74.34] [-21.79, 75.34]
9.676454e+08 [-22.26, 174.85] [-22.06, 175.85] [-21.86, 176.85]
1.004599e+09 [-22.31, -92.40] [-22.11, -91.40] [-21.91, -90.40]
1.042963e+09 [-22.30, -11.25] [-22.10, -10.25] [-21.90, -9.25]
1.082793e+09 [-22.40, 60.44] [-22.20, 61.44] [-22.00, 62.44]
1.124143e+09 [-22.37, 120.09] [-22.17, 121.09] [-21.97, 122.09]
1.167073e+09 [-22.49, 169.26] [-22.29, 170.26] [-22.09, 171.26]
1.211642e+09 [-22.46, -154.40] [-22.26, -153.40] [-22.06, -152.40]
1.257913e+09 [-22.56, -129.54] [-22.36, -128.54] [-22.16, -127.54]
1.305952e+09 [-22.62, -118.29] [-22.42, -117.29] [-22.22, -116.29]
1.355825e+09 [-22.63, -119.12] [-22.43, -118.12] [-22.23, -117.12]
1.407602e+09 [-22.70, -135.18] [-22.50, -134.18] [-22.30, -133.18]
1.461357e+09 [-22.69, -164.97] [-22.49, -163.97] [-22.29, -162.97]
1.517164e+09 [-22.80, 151.16] [-22.60, 152.16] [-22.40, 153.16]
1.575103e+09 [-22.86, 90.11] [-22.66, 91.11] [-22.46, 92.11]
1.635254e+09 [-22.81, 14.27] [-22.61, 15.27] [-22.41, 16.27]
1.697703e+09 [-22.88, -77.96] [-22.68, -76.96] [-22.48, -75.96]
1.762536e+09 [-23.00, 171.72] [-22.80, 172.72] [-22.60, 173.72]
1.829845e+09 [-23.05, 43.18] [-22.85, 44.18] [-22.65, 45.18]
1.899725e+09 [-23.02, -103.85] [-22.82, -102.85] [-22.62, -101.85]
1.972273e+09 [-23.04, 90.74] [-22.84, 91.74] [-22.64, 92.74]
2.047592e+09 [-23.10, -95.05] [-22.90, -94.05] [-22.70, -93.05]
2.125787e+09 [-23.21, 58.24] [-23.01, 59.24] [-22.81, 60.24]
2.206969e+09 [-23.30, -170.42] [-23.10, -169.42] [-22.90, -168.42]
2.291250e+09 [-23.38, -61.49] [-23.18, -60.49] [-22.98, -59.49]
2.378751e+09 [-23.47, 24.21] [-23.27, 25.21] [-23.07, 26.21]
2.469592e+09 [-23.49, 85.62] [-23.29, 86.62] [-23.09, 87.62]
2.563903e+09 [-23.47, 123.57] [-23.27, 124.57] [-23.07, 125.57]
2.661816e+09 [-23.49, 130.81] [-23.29, 131.81] [-23.09, 132.81]
2.763468e+09 [-23.72, 113.06] [-23.52, 114.06] [-23.32, 115.06]
2.869001e+09 [-23.96, 68.84] [-23.76, 69.84] [-23.56, 70.84]
2.978565e+09 [-24.05, -3.22] [-23.85, -2.22] [-23.65, -1.22]
3.092313e+09 [-23.81, -110.50] [-23.61, -109.50] [-23.41, -108.50]
3.210405e+09 [-24.26, 114.04] [-24.06, 115.04] [-23.86, 116.04]
3.333007e+09 [-24.18, -52.02] [-23.98, -51.02] [-23.78, -50.02]
3.460290e+09 [-24.46, 101.63] [-24.26, 102.63] [-24.06, 103.63]
3.592435e+09 [-24.22, -132.04] [-24.02, -131.04] [-23.82, -130.04]
3.729626e+09 [-24.99, -48.04] [-24.79, -47.04] [-24.59, -46.04]
3.872056e+09 [-24.59, -3.18] [-24.39, -2.18] [-24.19, -1.18]
4.019925e+09 [-24.34, 8.21] [-24.14, 9.21] [-23.94, 10.21]
4.173442e+09 [-24.67, -22.73] [-24.47, -21.73] [-24.27, -20.73]
4.332821e+09 [-24.97, -98.35] [-24.77, -97.35] [-24.57, -96.35]
4.498286e+09 [-25.19, 141.12] [-24.99, 142.12] [-24.79, 143.12]
4.670071e+09 [-25.48, -24.53] [-25.28, -23.53] [-25.08, -22.53]
4.848415e+09 [-25.52, 123.93] [-25.32, 124.93] [-25.12, 125.93]
5.033571e+09 [-25.49, -137.52] [-25.29, -136.52] [-25.09, -135.52]
5.225797e+09 [-25.16, -92.04] [-24.96, -91.04] [-24.76, -90.04]
5.425364e+09 [-25.80, -101.05] [-25.60, -100.05] [-25.40, -99.05]
5.632553e+09 [-26.00, -157.36] [-25.80, -156.36] [-25.60, -155.36]
5.847653e+09 [-25.50, 81.11] [-25.30, 82.11] [-25.10, 83.11]
6.070969e+09 [-25.47, -94.15] [-25.27, -93.15] [-25.07, -92.15]
6.302812e+09 [-25.99, 23.34] [-25.79, 24.34] [-25.59, 25.34]
6.543509e+09 [-25.96, 77.06] [-25.76, 78.06] [-25.56, 79.06]
6.793398e+09 [-25.56, 66.23] [-25.36, 67.23] [-25.16, 68.23]
7.052830e+09 [-25.87, -16.37] [-25.67, -15.37] [-25.47, -14.37]
7.322170e+09 [-26.18, -167.00] [-25.98, -166.00] [-25.78, -165.00]
7.601795e+09 [-26.17, -32.51] [-25.97, -31.51] [-25.77, -30.51]
7.892099e+09 [-25.90, 23.41] [-25.70, 24.41] [-25.50, 25.41]
8.193489e+09 [-26.64, -2.00] [-26.44, -1.00] [-26.24, -0.00]
8.506389e+09 [-26.17, -110.20] [-25.97, -109.20] [-25.77, -108.20]
8.831239e+09 [-26.08, 57.92] [-25.88, 58.92] [-25.68, 59.92]
9.168493e+09 [-26.25, 131.44] [-26.05, 132.44] [-25.85, 133.44]
9.518628e+09 [-26.29, 109.10] [-26.09, 110.10] [-25.89, 111.10]
9.882133e+09 [-26.57, -6.23] [-26.37, -5.23] [-26.17, -4.23]
1.025952e+10 [-26.56, 139.78] [-26.36, 140.78] [-26.16, 141.78]
1.065132e+10 [-26.97, 176.42] [-26.77, 177.42] [-26.57, 178.42]
1.105808e+10 [-26.62, 107.41] [-26.42, 108.41] [-26.22, 109.41]
1.148038e+10 [-26.81, -72.60] [-26.61, -71.60] [-26.41, -70.60]
1.191880e+10 [-27.11, -13.66] [-26.91, -12.66] [-26.71, -11.66]
1.237396e+10 [-27.27, -72.38] [-27.07, -71.38] [-26.87, -70.38]
1.284651e+10 [-27.68, 99.43] [-27.48, 100.43] [-27.28, 101.43]
1.333711e+10 [-27.70, 142.29] [-27.50, 143.29] [-27.30, 144.29]
1.384643e+10 [-27.62, 50.12] [-27.42, 51.12] [-27.22, 52.12]
1.437521e+10 [-27.68, 171.08] [-27.48, 172.08] [-27.28, 173.08]
1.492419e+10 [-27.82, 152.12] [-27.62, 153.12] [-27.42, 154.12]
1.549412e+10 [-28.25, -30.63] [-28.05, -29.63] [-27.85, -28.63]
1.608583e+10 [-28.44, -5.79] [-28.24, -4.79] [-28.04, -3.79]
1.670013e+10 [-29.22, -139.21] [-29.02, -138.21] [-28.82, -137.21]
1.733789e+10 [-28.41, -87.04] [-28.21, -86.04] [-28.01, -85.04]
1.800000e+10 [-29.74, 149.24] [-29.54, 150.24] [-29.34, 151.24]
