FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.15, -58.03] [0.05, -57.03] [0.25, -56.03]
2.750818e+07 [-0.37, -153.20] [-0.17, -152.20] [0.03, -151.20]
2.855868e+07 [-0.28, -159.73] [-0.08, -158.73] [0.12, -157.73]
2.964930e+07 [-0.43, -165.61] [-0.23, -164.61] [-0.03, -163.61]
3.078158e+07 [-0.41, -172.14] [-0.21, -171.14] [-0.01, -170.14]
3.195709e+07 [-0.43, -177.12] [-0.23, -176.12] [-0.03, -175.12]
3.317750e+07 [-0.43, 174.97] [-0.23, 175.97] [-0.03, 176.97]
3.444451e+07 [-0.48, 168.00] [-0.28, 169.00] [-0.08, 170.00]
3.575990e+07 [-0.43, 161.16] [-0.23, 162.16] [-0.03, 163.16]
3.712553e+07 [-0.32, 153.12] [-0.12, 154.12] [0.08, 155.12]
3.854331e+07 [-0.36, 146.37] [-0.16, 147.37] [0.04, 148.37]
4.001524e+07 [-0.38, 138.50] [-0.18, 139.50] [0.02, 140.50]
4.154338e+07 [-0.25, 128.81] [-0.05, 129.81] [0.15, 130.81]
4.312987e+07 [-0.42, 121.03] [-0.22, 122.03] [-0.02, 123.03]
4.477695e+07 [-0.47, 110.48] [-0.27, 111.48] [-0.07, 112.48]
4.648693e+07 [-0.44, 101.96] [-0.24, 102.96] [-0.04, 103.96]
4.826221e+07 [-0.49, 92.51] [-0.29, 93.51] [-0.09, 94.51]
5.010529e+07 [-0.49, 82.37] [-0.29, 83.37] [-0.09, 84.37]
5.201875e+07 [-0.49, 71.36] [-0.29, 72.36] [-0.09, 73.36]
5.400529e+07 [-0.47, 60.44] [-0.27, 61.44] [-0.07, 62.44]
5.606769e+07 [-0.39, 48.52] [-0.19, 49.52] [0.01, 50.52]
5.820885e+07 [-0.47, 37.66] [-0.27, 38.66] [-0.07, 39.66]
6.043178e+07 [-0.57, 24.94] [-0.37, 25.94] [-0.17, 26.94]
6.273960e+07 [-0.46, 12.02] [-0.26, 13.02] [-0.06, 14.02]
6.513556e+07 [-0.48, -0.68] [-0.28, 0.32] [-0.08, 1.32]
6.762301e+07 [-0.47, -14.01] [-0.27, -13.01] [-0.07, -12.01]
7.020545e+07 [-0.43, -28.66] [-0.23, -27.66] [-0.03, -26.66]
7.288652e+07 [-0.46, -43.37] [-0.26, -42.37] [-0.06, -41.37]
7.566997e+07 [-0.49, -58.41] [-0.29, -57.41] [-0.09, -56.41]
7.855972e+07 [-0.52, -74.43] [-0.32, -73.43] [-0.12, -72.43]
8.155983e+07 [-0.49, -91.36] [-0.29, -90.36] [-0.09, -89.36]
8.467450e+07 [-0.49, -108.18] [-0.29, -107.18] [-0.09, -106.18]
8.790813e+07 [-0.52, -125.71] [-0.32, -124.71] [-0.12, -123.71]
9.126524e+07 [-0.56, -144.54] [-0.36, -143.54] [-0.16, -142.54]
9.475055e+07 [-0.50, -163.55] [-0.30, -162.55] [-0.10, -161.55]
9.836897e+07 [-0.54, 175.98] [-0.34, 176.98] [-0.14, 177.98]
1.021256e+08 [-0.56, 155.80] [-0.36, 156.80] [-0.16, 157.80]
1.060256e+08 [-0.60, 134.34] [-0.40, 135.34] [-0.20, 136.34]
1.100746e+08 [-0.58, 111.80] [-0.38, 112.80] [-0.18, 113.80]
1.142782e+08 [-0.59, 88.97] [-0.39, 89.97] [-0.19, 90.97]
1.186424e+08 [-0.61, 64.55] [-0.41, 65.55] [-0.21, 66.55]
1.231732e+08 [-0.61, 39.99] [-0.41, 40.99] [-0.21, 41.99]
1.278771e+08 [-0.58, 13.91] [-0.38, 14.91] [-0.18, 15.91]
1.327605e+08 [-0.61, -12.90] [-0.41, -11.90] [-0.21, -10.90]
1.378305e+08 [-0.65, -40.65] [-0.45, -39.65] [-0.25, -38.65]
1.430941e+08 [-0.66, -69.74] [-0.46, -68.74] [-0.26, -67.74]
1.485587e+08 [-0.66, -99.59] [-0.46, -98.59] [-0.26, -97.59]
1.542320e+08 [-0.66, -130.94] [-0.46, -129.94] [-0.26, -128.94]
1.601219e+08 [-0.64, -163.27] [-0.44, -162.27] [-0.24, -161.27]
1.662368e+08 [-0.68, 163.13] [-0.48, 164.13] [-0.28, 165.13]
1.725852e+08 [-0.66, 128.08] [-0.46, 129.08] [-0.26, 130.08]
1.791760e+08 [-0.69, 91.84] [-0.49, 92.84] [-0.29, 93.84]
1.860186e+08 [-0.70, 54.22] [-0.50, 55.22] [-0.30, 56.22]
1.931224e+08 [-0.74, 15.28] [-0.54, 16.28] [-0.34, 17.28]
2.004975e+08 [-0.74, -25.37] [-0.54, -24.37] [-0.34, -23.37]
2.081543e+08 [-0.73, -67.46] [-0.53, -66.46] [-0.33, -65.46]
2.161035e+08 [-0.75, -111.17] [-0.55, -110.17] [-0.35, -109.17]
2.243562e+08 [-0.74, -156.50] [-0.54, -155.50] [-0.34, -154.50]
2.329241e+08 [-0.80, 156.38] [-0.60, 157.38] [-0.40, 158.38]
2.418192e+08 [-0.79, 107.48] [-0.59, 108.48] [-0.39, 109.48]
2.510540e+08 [-0.81, 56.78] [-0.61, 57.78] [-0.41, 58.78]
2.606415e+08 [-0.82, 3.91] [-0.62, 4.91] [-0.42, 5.91]
2.705951e+08 [-0.82, -50.62] [-0.62, -49.62] [-0.42, -48.62]
2.809288e+08 [-0.86, -107.55] [-0.66, -106.55] [-0.46, -105.55]
2.916571e+08 [-0.86, -166.47] [-0.66, -165.47] [-0.46, -164.47]
3.027952e+08 [-0.86, 132.23] [-0.66, 133.23] [-0.46, 134.23]
3.143586e+08 [-0.87, 68.64] [-0.67, 69.64] [-0.47, 70.64]
3.263636e+08 [-0.91, 2.64] [-0.71, 3.64] [-0.51, 4.64]
3.388271e+08 [-0.90, -65.90] [-0.70, -64.90] [-0.50, -63.90]
3.517665e+08 [-0.92, -136.98] [-0.72, -135.98] [-0.52, -134.98]
3.652000e+08 [-0.94, 149.18] [-0.74, 150.18] [-0.54, 151.18]
3.791466e+08 [-0.95, 72.62] [-0.75, 73.62] [-0.55, 74.62]
3.936258e+08 [-0.98, -7.03] [-0.78, -6.03] [-0.58, -5.03]
4.086579e+08 [-0.99, -89.56] [-0.79, -88.56] [-0.59, -87.56]
4.242641e+08 [-1.01, -175.33] [-0.81, -174.33] [-0.61, -173.33]
4.404662e+08 [-1.02, 95.53] [-0.82, 96.53] [-0.62, 97.53]
4.572871e+08 [-1.04, 3.14] [-0.84, 4.14] [-0.64, 5.14]
4.747504e+08 [-1.06, -92.83] [-0.86, -91.83] [-0.66, -90.83]
4.928806e+08 [-1.06, 167.54] [-0.86, 168.54] [-0.66, 169.54]
5.117031e+08 [-1.09, 64.09] [-0.89, 65.09] [-0.69, 66.09]
5.312445e+08 [-1.12, -43.28] [-0.92, -42.28] [-0.72, -41.28]
5.515321e+08 [-1.14, -154.75] [-0.94, -153.75] [-0.74, -152.75]
5.725945e+08 [-1.14, 89.61] [-0.94, 90.61] [-0.74, 91.61]
5.944612e+08 [-1.17, -30.58] [-0.97, -29.58] [-0.77, -28.58]
6.171630e+08 [-1.19, -155.38] [-0.99, -154.38] [-0.79, -153.38]
6.407317e+08 [-1.21, 75.23] [-1.01, 76.23] [-0.81, 77.23]
6.652006e+08 [-1.22, -59.25] [-1.02, -58.25] [-0.82, -57.25]
6.906038e+08 [-1.25, 161.15] [-1.05, 162.15] [-0.85, 163.15]
7.169772e+08 [-1.27, 16.32] [-1.07, 17.32] [-0.87, 18.32]
7.443577e+08 [-1.29, -134.11] [-1.09, -133.11] [-0.89, -132.11]
7.727839e+08 [-1.31, 69.71] [-1.11, 70.71] [-0.91, 71.71]
8.022956e+08 [-1.33, -92.42] [-1.13, -91.42] [-0.93, -90.42]
8.329344e+08 [-1.35, 99.15] [-1.15, 100.15] [-0.95, 101.15]
8.647432e+08 [-1.39, -75.50] [-1.19, -74.50] [-0.99, -73.50]
8.977667e+08 [-1.40, 103.08] [-1.20, 104.08] [-1.00, 105.08]
9.320514e+08 [-1.43, -85.22] [-1.23, -84.22] [-1.03, -83.22]
9.676454e+08 [-1.45, 79.15] [-1.25, 80.15] [-1.05, 81.15]
1.004599e+09 [-1.49, -123.62] [-1.29, -122.62] [-1.09, -121.62]
1.042963e+09 [-1.50, 25.48] [-1.30, 26.48] [-1.10, 27.48]
1.082793e+09 [-1.53, 166.80] [-1.33, 167.80] [-1.13, 168.80]
1.124143e+09 [-1.57, -60.40] [-1.37, -59.40] [-1.17, -58.40]
1.167073e+09 [-1.59, 63.86] [-1.39, 64.86] [-1.19, 65.86]
1.211642e+09 [-1.63, -180.96] [-1.43, -179.96] [-1.23, -178.96]
1.257913e+09 [-1.64, -75.07] [-1.44, -74.07] [-1.24, -73.07]
1.305952e+09 [-1.68, 21.03] [-1.48, 22.03] [-1.28, 23.03]
1.355825e+09 [-1.74, 107.13] [-1.54, 108.13] [-1.34, 109.13]
1.407602e+09 [-1.72, -177.21] [-1.52, -176.21] [-1.32, -175.21]
1.461357e+09 [-1.78, -112.51] [-1.58, -111.51] [-1.38, -110.51]
1.517164e+09 [-1.82, -58.88] [-1.62, -57.88] [-1.42, -56.88]
1.575103e+09 [-1.83, -17.27] [-1.63, -16.27] [-1.43, -15.27]
1.635254e+09 [-1.86, 12.34] [-1.66, 13.34] [-1.46, 14.34]
1.697703e+09 [-1.89, 29.55] [-1.69, 30.55] [-1.49, 31.55]
1.762536e+09 [-1.92, 33.31] [-1.72, 34.31] [-1.52, 35.31]
1.829845e+09 [-2.00, 23.85] [-1.80, 24.85] [-1.60, 25.85]
1.899725e+09 [-1.99, -0.26] [-1.79, 0.74] [-1.59, 1.74]
1.972273e+09 [-2.06, -38.34] [-1.86, -37.34] [-1.66, -36.34]
2.047592e+09 [-2.07, -92.21] [-1.87, -91.21] [-1.67, -90.21]
2.125787e+09 [-2.14, -161.64] [-1.94, -160.64] [-1.74, -159.64]
2.206969e+09 [-2.14, 112.62] [-1.94, 113.62] [-1.74, 114.62]
2.291250e+09 [-2.22, 9.73] [-2.02, 10.73] [-1.82, 11.73]
2.378751e+09 [-2.23, -110.89] [-2.03, -109.89] [-1.83, -108.89]
2.469592e+09 [-2.30, 110.22] [-2.10, 111.22] [-1.90, 112.22]
2.563903e+09 [-2.31, -46.11] [-2.11, -45.11] [-1.91, -44.11]
2.661816e+09 [-2.37, 134.59] [-2.17, 135.59] [-1.97, 136.59]
2.763468e+09 [-2.44, -63.47] [-2.24, -62.47] [-2.04, -61.47]
2.869001e+09 [-2.46, 77.20] [-2.26, 78.20] [-2.06, 79.20]
2.978565e+09 [-2.55, -164.35] [-2.35, -163.35] [-2.15, -162.35]
3.092313e+09 [-2.65, -69.08] [-2.45, -68.08] [-2.25, -67.08]
3.210405e+09 [-2.66, 2.36] [-2.46, 3.36] [-2.26, 4.36]
3.333007e+09 [-2.69, 49.37] [-2.49, 50.37] [-2.29, 51.37]
3.460290e+09 [-2.75, 70.72] [-2.55, 71.72] [-2.35, 72.72]
3.592435e+09 [-2.83, 65.55] [-2.63, 66.55] [-2.43, 67.55]
3.729626e+09 [-2.83, 32.15] [-2.63, 33.15] [-2.43, 34.15]
3.872056e+09 [-2.90, -30.69] [-2.70, -29.69] [-2.50, -28.69]
4.019925e+09 [-3.01, -123.08] [-2.81, -122.08] [-2.61, -121.08]
4.173442e+09 [-3.20, 115.11] [-3.00, 116.11] [-2.80, 117.11]
4.332821e+09 [-2.99, -40.51] [-2.79, -39.51] [-2.59, -38.51]
4.498286e+09 [-3.25, 130.62] [-3.05, 131.62] [-2.85, 132.62]
4.670071e+09 [-3.26, -90.49] [-3.06, -89.49] [-2.86, -88.49]
4.848415e+09 [-3.35, 9.07] [-3.15, 10.07] [-2.95, 11.07]
5.033571e+09 [-3.31, 73.69] [-3.11, 74.69] [-2.91, 75.69]
5.225797e+09 [-3.28, 97.42] [-3.08, 98.42] [-2.88, 99.42]
5.425364e+09 [-3.62, 79.93] [-3.42, 80.93] [-3.22, 81.93]
5.632553e+09 [-3.45, 24.43] [-3.25, 25.43] [-3.05, 26.43]
5.847653e+09 [-3.44, -77.29] [-3.24, -76.29] [-3.04, -75.29]
6.070969e+09 [-3.60, 137.05] [-3.40, 138.05] [-3.20, 139.05]
6.302812e+09 [-3.66, -55.83] [-3.46, -54.83] [-3.26, -53.83]
6.543509e+09 [-3.77, 62.68] [-3.57, 63.68] [-3.37, 64.68]
6.793398e+09 [-3.72, 130.06] [-3.52, 131.06] [-3.32, 132.06]
7.052830e+09 [-3.89, 145.74] [-3.69, 146.74] [-3.49, 147.74]
7.322170e+09 [-3.93, 106.47] [-3.73, 107.47] [-3.53, 108.47]
7.601795e+09 [-4.02, 11.38] [-3.82, 12.38] [-3.62, 13.38]
7.892099e+09 [-4.07, -142.54] [-3.87, -141.54] [-3.67, -140.54]
8.193489e+09 [-4.14, 2.60] [-3.94, 3.60] [-3.74, 4.60]
8.506389e+09 [-4.20, 84.90] [-4.00, 85.90] [-3.80, 86.90]
8.831239e+09 [-4.24, 100.29] [-4.04, 101.29] [-3.84, 102.29]
9.168493e+09 [-4.33, 48.38] [-4.13, 49.38] [-3.93, 50.38]
9.518628e+09 [-4.58, -74.69] [-4.38, -73.69] [-4.18, -72.69]
9.882133e+09 [-4.68, 90.09] [-4.48, 91.09] [-4.28, 92.09]
1.025952e+10 [-4.71, 177.02] [-4.51, 178.02] [-4.31, 179.02]
1.065132e+10 [-5.01, -174.28] [-4.81, -173.28] [-4.61, -172.28]
1.105808e+10 [-5.20, 109.86] [-5.00, 110.86] [-4.80, 111.86]
1.148038e+10 [-5.34, -49.06] [-5.14, -48.06] [-4.94, -47.06]
1.191880e+10 [-5.54, 64.16] [-5.34, 65.16] [-5.14, 66.16]
1.237396e+10 [-5.74, 87.61] [-5.54, 88.61] [-5.34, 89.61]
1.284651e+10 [-6.13, 13.25] [-5.93, 14.25] [-5.73, 15.25]
1.333711e+10 [-6.32, -161.13] [-6.12, -160.13] [-5.92, -159.13]
1.384643e+10 [-6.42, -75.56] [-6.22, -74.56] [-6.02, -73.56]
1.437521e+10 [-6.43, -99.21] [-6.23, -98.21] [-6.03, -97.21]
1.492419e+10 [-6.50, 126.13] [-6.30, 127.13] [-6.10, 128.13]
1.549412e+10 [-6.60, -126.54] [-6.40, -125.54] [-6.20, -124.54]
1.608583e+10 [-6.54, -136.21] [-6.34, -135.21] [-6.14, -134.21]
1.670013e+10 [-7.05, 88.14] [-6.85, 89.14] [-6.65, 90.14]
1.733789e+10 [-7.43, -169.65] [-7.23, -168.65] [-7.03, -167.65]
1.800000e+10 [-6.97, 153.53] [-6.77, 154.53] [-6.57, 155.53]
