FUNIT: Hz
UNIT: dB
1.000000e+07 [-20.66, -75.00] [-20.46, -74.00] [-20.26, -73.00]
5.010529e+07 [-20.80, -6.81] [-20.60, -5.81] [-20.40, -4.81]
5.201875e+07 [-20.83, -20.80] [-20.63, -19.80] [-20.43, -18.80]
5.400529e+07 [-20.80, -35.08] [-20.60, -34.08] [-20.40, -33.08]
5.606769e+07 [-20.81, -50.13] [-20.61, -49.13] [-20.41, -48.13]
5.820885e+07 [-20.84, -65.67] [-20.64, -64.67] [-20.44, -63.67]
6.043178e+07 [-20.79, -81.98] [-20.59, -80.98] [-20.39, -79.98]
6.273960e+07 [-20.85, -98.85] [-20.65, -97.85] [-20.45, -96.85]
6.513556e+07 [-20.88, -116.23] [-20.68, -115.23] [-20.48, -114.23]
6.762301e+07 [-20.87, -134.28] [-20.67, -133.28] [-20.47, -132.28]
7.020545e+07 [-20.89, -152.90] [-20.69, -151.90] [-20.49, -150.90]
7.288652e+07 [-20.88, -172.55] [-20.68, -171.55] [-20.48, -170.55]
7.566997e+07 [-20.87, 167.32] [-20.67, 168.32] [-20.47, 169.32]
7.855972e+07 [-20.93, 146.32] [-20.73, 147.32] [-20.53, 148.32]
8.155983e+07 [-20.90, 124.45] [-20.70, 125.45] [-20.50, 126.45]
8.467450e+07 [-20.93, 101.73] [-20.73, 102.73] [-20.53, 103.73]
8.790813e+07 [-20.92, 78.30] [-20.72, 79.30] [-20.52, 80.30]
9.126524e+07 [-20.93, 53.91] [-20.73, 54.91] [-20.53, 55.91]
9.475055e+07 [-20.94, 28.55] [-20.74, 29.55] [-20.54, 30.55]
9.836897e+07 [-20.94, 2.25] [-20.74, 3.25] [-20.54, 4.25]
1.021256e+08 [-20.97, -24.92] [-20.77, -23.92] [-20.57, -22.92]
1.060256e+08 [-20.97, -53.47] [-20.77, -52.47] [-20.57, -51.47]
1.100746e+08 [-20.99, -82.91] [-20.79, -81.91] [-20.59, -80.91]
1.142782e+08 [-21.00, -113.42] [-20.80, -112.42] [-20.60, -111.42]
1.186424e+08 [-21.01, -145.03] [-20.81, -144.03] [-20.61, -143.03]
1.231732e+08 [-21.03, -177.98] [-20.83, -176.98] [-20.63, -175.98]
1.278771e+08 [-21.03, 147.81] [-20.83, 148.81] [-20.63, 149.81]
1.327605e+08 [-21.05, 112.29] [-20.85, 113.29] [-20.65, 114.29]
1.378305e+08 [-21.07, 75.50] [-20.87, 76.50] [-20.67, 77.50]
1.430941e+08 [-21.07, 37.18] [-20.87, 38.18] [-20.67, 39.18]
1.485587e+08 [-21.09, -2.43] [-20.89, -1.43] [-20.69, -0.43]
1.542320e+08 [-21.10, -43.64] [-20.90, -42.64] [-20.70, -41.64]
1.601219e+08 [-21.12, -86.47] [-20.92, -85.47] [-20.72, -84.47]
1.662368e+08 [-21.13, -130.88] [-20.93, -129.88] [-20.73, -128.88]
1.725852e+08 [-21.15, -177.03] [-20.95, -176.03] [-20.75, -175.03]
1.791760e+08 [-21.16, 135.17] [-20.96, 136.17] [-20.76, 137.17]
1.860186e+08 [-21.18, 85.44] [-20.98, 86.44] [-20.78, 87.44]
1.931224e+08 [-21.20, 33.84] [-21.00, 34.84] [-20.80, 35.84]
2.004975e+08 [-21.22, -19.65] [-21.02, -18.65] [-20.82, -17.65]
2.081543e+08 [-21.23, -75.28] [-21.03, -74.28] [-20.83, -73.28]
2.161035e+08 [-21.25, -132.97] [-21.05, -131.97] [-20.85, -130.97]
2.243562e+08 [-21.25, 167.05] [-21.05, 168.05] [-20.85, 169.05]
2.329241e+08 [-21.28, 104.84] [-21.08, 105.84] [-20.88, 106.84]
2.418192e+08 [-21.30, 40.24] [-21.10, 41.24] [-20.90, 42.24]
2.510540e+08 [-21.31, -26.82] [-21.11, -25.82] [-20.91, -24.82]
2.606415e+08 [-21.33, -96.42] [-21.13, -95.42] [-20.93, -94.42]
2.705951e+08 [-21.36, -168.72] [-21.16, -167.72] [-20.96, -166.72]
2.809288e+08 [-21.38, 116.33] [-21.18, 117.33] [-20.98, 118.33]
2.916571e+08 [-21.39, 38.47] [-21.19, 39.47] [-20.99, 40.47]
3.027952e+08 [-21.41, -42.40] [-21.21, -41.40] [-21.01, -40.40]
3.143586e+08 [-21.44, -126.32] [-21.24, -125.32] [-21.04, -124.32]
3.263636e+08 [-21.45, 146.51] [-21.25, 147.51] [-21.05, 148.51]
3.388271e+08 [-21.47, 56.04] [-21.27, 57.04] [-21.07, 58.04]
3.517665e+08 [-21.50, -37.88] [-21.30, -36.88] [-21.10, -35.88]
3.652000e+08 [-21.52, -135.35] [-21.32, -134.35] [-21.12, -133.35]
3.791466e+08 [-21.55, 123.44] [-21.35, 124.44] [-21.15, 125.44]
3.936258e+08 [-21.58, 18.37] [-21.38, 19.37] [-21.18, 20.37]
4.086579e+08 [-21.59, -90.64] [-21.39, -89.64] [-21.19, -88.64]
4.242641e+08 [-21.61, 156.05] [-21.41, 157.05] [-21.21, 158.05]
4.404662e+08 [-21.63, 38.46] [-21.43, 39.46] [-21.23, 40.46]
4.572871e+08 [-21.66, -83.66] [-21.46, -82.66] [-21.26, -81.66]
4.747504e+08 [-21.70, 149.66] [-21.50, 150.66] [-21.30, 151.66]
4.928806e+08 [-21.72, 18.16] [-21.52, 19.16] [-21.32, 20.16]
5.117031e+08 [-21.73, -118.46] [-21.53, -117.46] [-21.33, -116.46]
5.312445e+08 [-21.77, 99.59] [-21.57, 100.59] [-21.37, 101.59]
5.515321e+08 [-21.83, -47.44] [-21.63, -46.44] [-21.43, -45.44]
5.725945e+08 [-21.83, 159.87] [-21.63, 160.87] [-21.43, 161.87]
5.944612e+08 [-21.85, 1.21] [-21.65, 2.21] [-21.45, 3.21]
6.171630e+08 [-21.87, -163.76] [-21.67, -162.76] [-21.47, -161.76]
6.407317e+08 [-21.94, 25.46] [-21.74, 26.46] [-21.54, 27.46]
6.652006e+08 [-21.95, -152.03] [-21.75, -151.03] [-21.55, -150.03]
6.906038e+08 [-21.96, 23.58] [-21.76, 24.58] [-21.56, 25.58]
7.169772e+08 [-22.02, -167.72] [-21.82, -166.72] [-21.62, -165.72]
7.443577e+08 [-22.05, -6.33] [-21.85, -5.33] [-21.65, -4.33]
7.727839e+08 [-22.04, 147.37] [-21.84, 148.37] [-21.64, 149.37]
8.022956e+08 [-22.12, -66.60] [-21.92, -65.60] [-21.72, -64.60]
8.329344e+08 [-22.15, 71.26] [-21.95, 72.26] [-21.75, 73.26]
8.647432e+08 [-22.16, -159.75] [-21.96, -158.75] [-21.76, -157.75]
8.977667e+08 [-22.25, -39.33] [-22.05, -38.33] [-21.85, -37.33]
9.320514e+08 [-22.22, 72.32] [-22.02, 73.32] [-21.82, 74.32]
9.676454e+08 [-22.29, 173.61] [-22.09, 174.61] [-21.89, 175.61]
1.004599e+09 [-22.36, -93.57] [-22.16, -92.57] [-21.96, -91.57]
1.042963e+09 [-22.34, -12.43] [-22.14, -11.43] [-21.94, -10.43]
1.082793e+09 [-22.45, 59.18] [-22.25, 60.18] [-22.05, 61.18]
1.124143e+09 [-22.40, 118.76] [-22.20, 119.76] [-22.00, 120.76]
1.167073e+09 [-22.53, 167.93] [-22.33, 168.93] [-22.13, 169.93]
1.211642e+09 [-22.49, -155.93] [-22.29, -154.93] [-22.09, -153.93]
1.257913e+09 [-22.60, -131.03] [-22.40, -130.03] [-22.20, -129.03]
1.305952e+09 [-22.65, -119.97] [-22.45, -118.97] [-22.25, -117.97]
1.355825e+09 [-22.67, -120.79] [-22.47, -119.79] [-22.27, -118.79]
1.407602e+09 [-22.73, -136.94] [-22.53, -135.94] [-22.33, -134.94]
1.461357e+09 [-22.71, -166.79] [-22.51, -165.79] [-22.31, -164.79]
1.517164e+09 [-22.84, 149.29] [-22.64, 150.29] [-22.44, 151.29]
1.575103e+09 [-22.89, 87.96] [-22.69, 88.96] [-22.49, 89.96]
1.635254e+09 [-22.83, 12.12] [-22.63, 13.12] [-22.43, 14.12]
1.697703e+09 [-22.91, -80.13] [-22.71, -79.13] [-22.51, -78.13]
1.762536e+09 [-23.05, 169.59] [-22.85, 170.59] [-22.65, 171.59]
1.829845e+09 [-23.10, 40.94] [-22.90, 41.94] [-22.70, 42.94]
1.899725e+09 [-23.06, -105.92] [-22.86, -104.92] [-22.66, -103.92]
1.972273e+09 [-23.07, 88.39] [-22.87, 89.39] [-22.67, 90.39]
2.047592e+09 [-23.15, -97.45] [-22.95, -96.45] [-22.75, -95.45]
2.125787e+09 [-23.27, 55.81] [-23.07, 56.81] [-22.87, 57.81]
2.206969e+09 [-23.36, -172.94] [-23.16, -171.94] [-22.96, -170.94]
2.291250e+09 [-23.43, -64.08] [-23.23, -63.08] [-23.03, -62.08]
2.378751e+09 [-23.52, 21.46] [-23.32, 22.46] [-23.12, 23.46]
2.469592e+09 [-23.55, 82.80] [-23.35, 83.80] [-23.15, 84.80]
2.563903e+09 [-23.54, 119.27] [-23.34, 120.27] [-23.14, 121.27]
2.661816e+09 [-23.53, 128.17] [-23.33, 129.17] [-23.13, 130.17]
2.763468e+09 [-23.72, 109.94] [-23.52, 110.94] [-23.32, 111.94]
2.869001e+09 [-24.03, 65.46] [-23.83, 66.46] [-23.63, 67.46]
2.978565e+09 [-24.09, -6.96] [-23.89, -5.96] [-23.69, -4.96]
3.092313e+09 [-23.83, -114.08] [-23.63, -113.08] [-23.43, -112.08]
3.210405e+09 [-24.28, 109.87] [-24.08, 110.87] [-23.88, 111.87]
3.333007e+09 [-24.20, -56.14] [-24.00, -55.14] [-23.80, -54.14]
3.460290e+09 [-24.55, 97.57] [-24.35, 98.57] [-24.15, 99.57]
3.592435e+09 [-24.30, -136.04] [-24.10, -135.04] [-23.90, -134.04]
3.729626e+09 [-25.05, -53.10] [-24.85, -52.10] [-24.65, -51.10]
3.872056e+09 [-24.57, -7.90] [-24.37, -6.90] [-24.17, -5.90]
4.019925e+09 [-24.38, 3.25] [-24.18, 4.25] [-23.98, 5.25]
4.173442e+09 [-24.73, -28.20] [-24.53, -27.20] [-24.33, -26.20]
4.332821e+09 [-25.04, -103.94] [-24.84, -102.94] [-24.64, -101.94]
4.498286e+09 [-25.26, 135.71] [-25.06, 136.71] [-24.86, 137.71]
4.670071e+09 [-25.45, -30.07] [-25.25, -29.07] [-25.05, -28.07]
4.848415e+09 [-25.55, 117.47] [-25.35, 118.47] [-25.15, 119.47]
5.033571e+09 [-25.47, -143.63] [-25.27, -142.63] [-25.07, -141.63]
5.225797e+09 [-25.09, -98.75] [-24.89, -97.75] [-24.69, -96.75]
5.425364e+09 [-25.66, -108.14] [-25.46, -107.14] [-25.26, -106.14]
5.632553e+09 [-25.96, -164.47] [-25.76, -163.47] [-25.56, -162.47]
5.847653e+09 [-25.51, 72.59] [-25.31, 73.59] [-25.11, 74.59]
6.070969e+09 [-25.58, -102.47] [-25.38, -101.47] [-25.18, -100.47]
6.302812e+09 [-26.18, 14.82] [-25.98, 15.82] [-25.78, 16.82]
6.543509e+09 [-26.08, 67.74] [-25.88, 68.74] [-25.68, 69.74]
6.793398e+09 [-25.74, 56.39] [-25.54, 57.39] [-25.34, 58.39]
7.052830e+09 [-26.09, -25.76] [-25.89, -24.76] [-25.69, -23.76]
7.322170e+09 [-26.54, -177.58] [-26.34, -176.58] [-26.14, -175.58]
7.601795e+09 [-26.70, -42.65] [-26.50, -41.65] [-26.30, -40.65]
7.892099e+09 [-26.28, 14.09] [-26.08, 15.09] [-25.88, 16.09]
8.193489e+09 [-27.16, -13.41] [-26.96, -12.41] [-26.76, -11.41]
8.506389e+09 [-26.58, -120.43] [-26.38, -119.43] [-26.18, -118.43]
8.831239e+09 [-26.59, 48.73] [-26.39, 49.73] [-26.19, 50.73]
9.168493e+09 [-26.73, 123.02] [-26.53, 124.02] [-26.33, 125.02]
9.518628e+09 [-26.59, 100.55] [-26.39, 101.55] [-26.19, 102.55]
9.882133e+09 [-26.72, -16.57] [-26.52, -15.57] [-26.32, -14.57]
1.025952e+10 [-26.73, 128.20] [-26.53, 129.20] [-26.33, 130.20]
1.065132e+10 [-27.07, 165.68] [-26.87, 166.68] [-26.67, 167.68]
1.105808e+10 [-26.83, 96.53] [-26.63, 97.53] [-26.43, 98.53]
1.148038e+10 [-26.87, -83.95] [-26.67, -82.95] [-26.47, -81.95]
1.191880e+10 [-26.98, -26.16] [-26.78, -25.16] [-26.58, -24.16]
1.237396e+10 [-27.19, -84.44] [-26.99, -83.44] [-26.79, -82.44]
1.284651e+10 [-27.25, 86.43] [-27.05, 87.43] [-26.85, 88.43]
1.333711e+10 [-27.28, 126.55] [-27.08, 127.55] [-26.88, 128.55]
1.384643e+10 [-27.35, 32.91] [-27.15, 33.91] [-26.95, 34.91]
1.437521e+10 [-27.73, 152.29] [-27.53, 153.29] [-27.33, 154.29]
1.492419e+10 [-27.90, 133.51] [-27.70, 134.51] [-27.50, 135.51]
1.549412e+10 [-28.52, -50.11] [-28.32, -49.11] [-28.12, -48.11]
1.608583e+10 [-28.73, -25.79] [-28.53, -24.79] [-28.33, -23.79]
1.670013e+10 [-29.40, -159.82] [-29.20, -158.82] [-29.00, -157.82]
1.733789e+10 [-28.60, -107.97] [-28.40, -106.97] [-28.20, -105.97]
1.800000e+10 [-30.00, 128.40] [-29.80, 129.40] [-29.60, 130.40]
