FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.11, -65.75] [0.09, -64.75] [0.29, -63.75]
2.649631e+07 [-0.38, -167.93] [-0.18, -166.93] [0.02, -165.93]
2.750818e+07 [-0.39, -174.93] [-0.19, -173.93] [0.01, -172.93]
2.855868e+07 [-0.29, 177.85] [-0.09, 178.85] [0.11, 179.85]
2.964930e+07 [-0.47, 171.13] [-0.27, 172.13] [-0.07, 173.13]
3.078158e+07 [-0.44, 163.64] [-0.24, 164.64] [-0.04, 165.64]
3.195709e+07 [-0.43, 157.88] [-0.23, 158.88] [-0.03, 159.88]
3.317750e+07 [-0.45, 148.86] [-0.25, 149.86] [-0.05, 150.86]
3.444451e+07 [-0.50, 140.91] [-0.30, 141.91] [-0.10, 142.91]
3.575990e+07 [-0.43, 133.15] [-0.23, 134.15] [-0.03, 135.15]
3.712553e+07 [-0.29, 123.92] [-0.09, 124.92] [0.11, 125.92]
3.854331e+07 [-0.36, 116.02] [-0.16, 117.02] [0.04, 118.02]
4.001524e+07 [-0.40, 107.00] [-0.20, 108.00] [0.00, 109.00]
4.154338e+07 [-0.27, 96.24] [-0.07, 97.24] [0.13, 98.24]
4.312987e+07 [-0.43, 87.29] [-0.23, 88.29] [-0.03, 89.29]
4.477695e+07 [-0.48, 75.53] [-0.28, 76.53] [-0.08, 77.53]
4.648693e+07 [-0.44, 65.48] [-0.24, 66.48] [-0.04, 67.48]
4.826221e+07 [-0.51, 54.65] [-0.31, 55.65] [-0.11, 56.65]
5.010529e+07 [-0.51, 43.15] [-0.31, 44.15] [-0.11, 45.15]
5.201875e+07 [-0.51, 30.66] [-0.31, 31.66] [-0.11, 32.66]
5.400529e+07 [-0.49, 18.09] [-0.29, 19.09] [-0.09, 20.09]
5.606769e+07 [-0.42, 4.61] [-0.22, 5.61] [-0.02, 6.61]
5.820885e+07 [-0.49, -7.91] [-0.29, -6.91] [-0.09, -5.91]
6.043178e+07 [-0.59, -22.45] [-0.39, -21.45] [-0.19, -20.45]
6.273960e+07 [-0.48, -37.07] [-0.28, -36.07] [-0.08, -35.07]
6.513556e+07 [-0.51, -51.68] [-0.31, -50.68] [-0.11, -49.68]
6.762301e+07 [-0.48, -66.98] [-0.28, -65.98] [-0.08, -64.98]
7.020545e+07 [-0.48, -83.62] [-0.28, -82.62] [-0.08, -81.62]
7.288652e+07 [-0.48, -100.28] [-0.28, -99.28] [-0.08, -98.28]
7.566997e+07 [-0.52, -117.62] [-0.32, -116.62] [-0.12, -115.62]
7.855972e+07 [-0.53, -135.85] [-0.33, -134.85] [-0.13, -133.85]
8.155983e+07 [-0.53, -155.10] [-0.33, -154.10] [-0.13, -153.10]
8.467450e+07 [-0.53, -174.29] [-0.33, -173.29] [-0.13, -172.29]
8.790813e+07 [-0.55, 165.59] [-0.35, 166.59] [-0.15, 167.59]
9.126524e+07 [-0.59, 144.16] [-0.39, 145.16] [-0.19, 146.16]
9.475055e+07 [-0.53, 122.41] [-0.33, 123.41] [-0.13, 124.41]
9.836897e+07 [-0.57, 99.12] [-0.37, 100.12] [-0.17, 101.12]
1.021256e+08 [-0.60, 76.00] [-0.40, 77.00] [-0.20, 78.00]
1.060256e+08 [-0.64, 51.43] [-0.44, 52.43] [-0.24, 53.43]
1.100746e+08 [-0.61, 25.80] [-0.41, 26.80] [-0.21, 27.80]
1.142782e+08 [-0.63, -0.32] [-0.43, 0.68] [-0.23, 1.68]
1.186424e+08 [-0.64, -28.11] [-0.44, -27.11] [-0.24, -26.11]
1.231732e+08 [-0.63, -56.23] [-0.43, -55.23] [-0.23, -54.23]
1.278771e+08 [-0.62, -85.99] [-0.42, -84.99] [-0.22, -83.99]
1.327605e+08 [-0.64, -116.55] [-0.44, -115.55] [-0.24, -114.55]
1.378305e+08 [-0.69, -148.29] [-0.49, -147.29] [-0.29, -146.29]
1.430941e+08 [-0.70, 178.53] [-0.50, 179.53] [-0.30, 180.53]
1.485587e+08 [-0.70, 144.44] [-0.50, 145.44] [-0.30, 146.44]
1.542320e+08 [-0.70, 108.63] [-0.50, 109.63] [-0.30, 110.63]
1.601219e+08 [-0.69, 71.76] [-0.49, 72.76] [-0.29, 73.76]
1.662368e+08 [-0.73, 33.32] [-0.53, 34.32] [-0.33, 35.32]
1.725852e+08 [-0.71, -6.61] [-0.51, -5.61] [-0.31, -4.61]
1.791760e+08 [-0.73, -47.96] [-0.53, -46.96] [-0.33, -45.96]
1.860186e+08 [-0.75, -90.94] [-0.55, -89.94] [-0.35, -88.94]
1.931224e+08 [-0.79, -135.41] [-0.59, -134.41] [-0.39, -133.41]
2.004975e+08 [-0.78, 178.14] [-0.58, 179.14] [-0.38, 180.14]
2.081543e+08 [-0.78, 130.10] [-0.58, 131.10] [-0.38, 132.10]
2.161035e+08 [-0.81, 80.23] [-0.61, 81.23] [-0.41, 82.23]
2.243562e+08 [-0.80, 28.43] [-0.60, 29.43] [-0.40, 30.43]
2.329241e+08 [-0.86, -25.33] [-0.66, -24.33] [-0.46, -23.33]
2.418192e+08 [-0.85, -81.20] [-0.65, -80.20] [-0.45, -79.20]
2.510540e+08 [-0.87, -139.05] [-0.67, -138.05] [-0.47, -137.05]
2.606415e+08 [-0.88, 160.60] [-0.68, 161.60] [-0.48, 162.60]
2.705951e+08 [-0.88, 98.31] [-0.68, 99.31] [-0.48, 100.31]
2.809288e+08 [-0.93, 33.36] [-0.73, 34.36] [-0.53, 35.36]
2.916571e+08 [-0.93, -33.95] [-0.73, -32.95] [-0.53, -31.95]
3.027952e+08 [-0.93, -103.90] [-0.73, -102.90] [-0.53, -101.90]
3.143586e+08 [-0.94, -176.48] [-0.74, -175.48] [-0.54, -174.48]
3.263636e+08 [-0.97, 108.13] [-0.77, 109.13] [-0.57, 110.13]
3.388271e+08 [-0.97, 29.92] [-0.77, 30.92] [-0.57, 31.92]
3.517665e+08 [-0.99, -51.21] [-0.79, -50.21] [-0.59, -49.21]
3.652000e+08 [-1.02, -135.55] [-0.82, -134.55] [-0.62, -133.55]
3.791466e+08 [-1.02, 137.03] [-0.82, 138.03] [-0.62, 139.03]
3.936258e+08 [-1.05, 46.08] [-0.85, 47.08] [-0.65, 48.08]
4.086579e+08 [-1.06, -48.20] [-0.86, -47.20] [-0.66, -46.20]
4.242641e+08 [-1.09, -146.10] [-0.89, -145.10] [-0.69, -144.10]
4.404662e+08 [-1.09, 112.17] [-0.89, 113.17] [-0.69, 114.17]
4.572871e+08 [-1.12, 6.67] [-0.92, 7.67] [-0.72, 8.67]
4.747504e+08 [-1.14, -102.84] [-0.94, -101.84] [-0.74, -100.84]
4.928806e+08 [-1.15, 143.39] [-0.95, 144.39] [-0.75, 145.39]
5.117031e+08 [-1.17, 25.29] [-0.97, 26.29] [-0.77, 27.29]
5.312445e+08 [-1.19, -97.32] [-0.99, -96.32] [-0.79, -95.32]
5.515321e+08 [-1.21, 135.33] [-1.01, 136.33] [-0.81, 137.33]
5.725945e+08 [-1.23, 3.29] [-1.03, 4.29] [-0.83, 5.29]
5.944612e+08 [-1.26, -133.90] [-1.06, -132.90] [-0.86, -131.90]
6.171630e+08 [-1.27, 83.66] [-1.07, 84.66] [-0.87, 85.66]
6.407317e+08 [-1.29, -64.16] [-1.09, -63.16] [-0.89, -62.16]
6.652006e+08 [-1.32, 142.33] [-1.12, 143.33] [-0.92, 144.33]
6.906038e+08 [-1.34, -17.05] [-1.14, -16.05] [-0.94, -15.05]
7.169772e+08 [-1.36, 177.54] [-1.16, 178.54] [-0.96, 179.54]
7.443577e+08 [-1.39, 5.85] [-1.19, 6.85] [-0.99, 7.85]
7.727839e+08 [-1.41, -172.47] [-1.21, -171.47] [-1.01, -170.47]
8.022956e+08 [-1.43, 2.35] [-1.23, 3.35] [-1.03, 4.35]
8.329344e+08 [-1.46, 170.14] [-1.26, 171.14] [-1.06, 172.14]
8.647432e+08 [-1.48, -29.35] [-1.28, -28.35] [-1.08, -27.35]
8.977667e+08 [-1.50, 123.55] [-1.30, 124.55] [-1.10, 125.55]
9.320514e+08 [-1.53, -91.48] [-1.33, -90.48] [-1.13, -89.48]
9.676454e+08 [-1.56, 45.26] [-1.36, 46.26] [-1.16, 47.26]
1.004599e+09 [-1.58, 173.54] [-1.38, 174.54] [-1.18, 175.54]
1.042963e+09 [-1.61, -67.13] [-1.41, -66.13] [-1.21, -65.13]
1.082793e+09 [-1.64, 43.09] [-1.44, 44.09] [-1.24, 45.09]
1.124143e+09 [-1.67, 143.77] [-1.47, 144.77] [-1.27, 145.77]
1.167073e+09 [-1.70, -125.45] [-1.50, -124.45] [-1.30, -123.45]
1.211642e+09 [-1.73, -44.93] [-1.53, -43.93] [-1.33, -42.93]
1.257913e+09 [-1.76, 24.91] [-1.56, 25.91] [-1.36, 26.91]
1.305952e+09 [-1.79, 83.58] [-1.59, 84.58] [-1.39, 85.58]
1.355825e+09 [-1.84, 130.83] [-1.64, 131.83] [-1.44, 132.83]
1.407602e+09 [-1.85, 166.19] [-1.65, 167.19] [-1.45, 168.19]
1.461357e+09 [-1.89, -171.02] [-1.69, -170.02] [-1.49, -169.02]
1.517164e+09 [-1.92, -160.92] [-1.72, -159.92] [-1.52, -158.92]
1.575103e+09 [-1.95, -164.24] [-1.75, -163.24] [-1.55, -162.24]
1.635254e+09 [-1.99, 178.56] [-1.79, 179.56] [-1.59, 180.56]
1.697703e+09 [-2.03, 146.96] [-1.83, 147.96] [-1.63, 148.96]
1.762536e+09 [-2.06, 100.26] [-1.86, 101.26] [-1.66, 102.26]
1.829845e+09 [-2.11, 38.25] [-1.91, 39.25] [-1.71, 40.25]
1.899725e+09 [-2.13, -40.21] [-1.93, -39.21] [-1.73, -38.21]
1.972273e+09 [-2.17, -134.86] [-1.97, -133.86] [-1.77, -132.86]
2.047592e+09 [-2.21, 112.71] [-2.01, 113.71] [-1.81, 114.71]
2.125787e+09 [-2.26, -17.54] [-2.06, -16.54] [-1.86, -15.54]
2.206969e+09 [-2.29, -166.64] [-2.09, -165.64] [-1.89, -164.64]
2.291250e+09 [-2.34, 24.93] [-2.14, 25.93] [-1.94, 26.93]
2.378751e+09 [-2.39, -163.82] [-2.19, -162.82] [-1.99, -161.82]
2.469592e+09 [-2.43, -13.40] [-2.23, -12.40] [-2.03, -11.40]
2.563903e+09 [-2.45, 116.85] [-2.25, 117.85] [-2.05, 118.85]
2.661816e+09 [-2.51, -138.99] [-2.31, -137.99] [-2.11, -136.99]
2.763468e+09 [-2.56, -56.01] [-2.36, -55.01] [-2.16, -54.01]
2.869001e+09 [-2.61, 2.48] [-2.41, 3.48] [-2.21, 4.48]
2.978565e+09 [-2.67, 35.43] [-2.47, 36.43] [-2.27, 37.43]
3.092313e+09 [-2.75, 42.30] [-2.55, 43.30] [-2.35, 44.30]
3.210405e+09 [-2.80, 21.89] [-2.60, 22.89] [-2.40, 23.89]
3.333007e+09 [-2.83, -26.75] [-2.63, -25.75] [-2.43, -24.75]
3.460290e+09 [-2.87, -104.89] [-2.67, -103.89] [-2.47, -102.89]
3.592435e+09 [-2.92, 146.88] [-2.72, 147.88] [-2.52, 148.88]
3.729626e+09 [-2.95, 6.77] [-2.75, 7.77] [-2.55, 8.77]
3.872056e+09 [-3.04, -166.50] [-2.84, -165.50] [-2.64, -164.50]
4.019925e+09 [-3.15, -13.93] [-2.95, -12.93] [-2.75, -11.93]
4.173442e+09 [-3.29, 104.57] [-3.09, 105.57] [-2.89, 106.57]
4.332821e+09 [-3.20, -175.24] [-3.00, -174.24] [-2.80, -173.24]
4.498286e+09 [-3.41, -132.64] [-3.21, -131.64] [-3.01, -130.64]
4.670071e+09 [-3.41, -128.36] [-3.21, -127.36] [-3.01, -126.36]
4.848415e+09 [-3.42, -167.45] [-3.22, -166.45] [-3.02, -165.45]
5.033571e+09 [-3.61, 111.61] [-3.41, 112.61] [-3.21, 113.61]
5.225797e+09 [-3.51, -13.06] [-3.31, -12.06] [-3.11, -11.06]
5.425364e+09 [-3.89, 175.84] [-3.69, 176.84] [-3.49, 177.84]
5.632553e+09 [-3.64, -43.35] [-3.44, -42.35] [-3.24, -41.35]
5.847653e+09 [-3.72, 47.57] [-3.52, 48.57] [-3.32, 49.57]
6.070969e+09 [-3.77, 88.39] [-3.57, 89.39] [-3.37, 90.39]
6.302812e+09 [-3.84, 74.42] [-3.64, 75.42] [-3.44, 76.42]
6.543509e+09 [-3.92, 5.82] [-3.72, 6.82] [-3.52, 7.82]
6.793398e+09 [-4.03, -121.40] [-3.83, -120.40] [-3.63, -119.40]
7.052830e+09 [-4.10, 52.46] [-3.90, 53.46] [-3.70, 54.46]
7.322170e+09 [-4.21, 163.90] [-4.01, 164.90] [-3.81, 165.90]
7.601795e+09 [-4.24, -149.07] [-4.04, -148.07] [-3.84, -147.07]
7.892099e+09 [-4.35, -169.24] [-4.15, -168.24] [-3.95, -167.24]
8.193489e+09 [-4.44, 101.36] [-4.24, 102.36] [-4.04, 103.36]
8.506389e+09 [-4.47, -60.79] [-4.27, -59.79] [-4.07, -58.79]
8.831239e+09 [-4.59, 62.66] [-4.39, 63.66] [-4.19, 64.66]
9.168493e+09 [-4.66, 107.80] [-4.46, 108.80] [-4.26, 109.80]
9.518628e+09 [-4.87, 73.43] [-4.67, 74.43] [-4.47, 75.43]
9.882133e+09 [-4.87, -45.30] [-4.67, -44.30] [-4.47, -43.30]
1.025952e+10 [-5.03, 107.52] [-4.83, 108.52] [-4.63, 109.52]
1.065132e+10 [-5.16, 171.49] [-4.96, 172.49] [-4.76, 173.49]
1.105808e+10 [-5.45, 140.70] [-5.25, 141.70] [-5.05, 142.70]
1.148038e+10 [-5.70, 12.90] [-5.50, 13.90] [-5.30, 14.90]
1.191880e+10 [-5.77, 144.50] [-5.57, 145.50] [-5.37, 146.50]
1.237396e+10 [-6.39, 170.40] [-6.19, 171.40] [-5.99, 172.40]
1.284651e+10 [-6.27, 88.48] [-6.07, 89.48] [-5.87, 90.48]
1.333711e+10 [-6.33, -105.76] [-6.13, -104.76] [-5.93, -103.76]
1.384643e+10 [-6.02, -58.64] [-5.82, -57.64] [-5.62, -56.64]
1.437521e+10 [-6.06, -135.98] [-5.86, -134.98] [-5.66, -133.98]
1.492419e+10 [-6.27, 21.99] [-6.07, 22.99] [-5.87, 23.99]
1.549412e+10 [-6.64, 47.94] [-6.44, 48.94] [-6.24, 49.94]
1.608583e+10 [-6.78, -64.11] [-6.58, -63.11] [-6.38, -62.11]
1.670013e+10 [-7.06, 45.04] [-6.86, 46.04] [-6.66, 47.04]
1.733789e+10 [-7.04, 8.07] [-6.84, 9.07] [-6.64, 10.07]
1.800000e+10 [-6.98, 172.65] [-6.78, 173.65] [-6.58, 174.65]
