FUNIT: Hz
UNIT: dB
1.000000e+07 [-20.53, -81.94] [-20.33, -80.94] [-20.13, -79.94]
2.649631e+07 [-20.72, 144.42] [-20.52, 145.42] [-20.32, 146.42]
2.750818e+07 [-20.68, 136.58] [-20.48, 137.58] [-20.28, 138.58]
2.855868e+07 [-20.74, 127.90] [-20.54, 128.90] [-20.34, 129.90]
2.964930e+07 [-20.67, 119.05] [-20.47, 120.05] [-20.27, 121.05]
3.078158e+07 [-20.75, 110.15] [-20.55, 111.15] [-20.35, 112.15]
3.195709e+07 [-20.73, 100.28] [-20.53, 101.28] [-20.33, 102.28]
3.317750e+07 [-20.78, 90.27] [-20.58, 91.27] [-20.38, 92.27]
3.444451e+07 [-20.76, 80.04] [-20.56, 81.04] [-20.36, 82.04]
3.575990e+07 [-20.74, 69.61] [-20.54, 70.61] [-20.34, 71.61]
3.712553e+07 [-20.75, 58.55] [-20.55, 59.55] [-20.35, 60.55]
3.854331e+07 [-20.80, 47.55] [-20.60, 48.55] [-20.40, 49.55]
4.001524e+07 [-20.78, 35.55] [-20.58, 36.55] [-20.38, 37.55]
4.154338e+07 [-20.79, 23.26] [-20.59, 24.26] [-20.39, 25.26]
4.312987e+07 [-20.79, 10.14] [-20.59, 11.14] [-20.39, 12.14]
4.477695e+07 [-20.77, -2.77] [-20.57, -1.77] [-20.37, -0.77]
4.648693e+07 [-20.80, -17.13] [-20.60, -16.13] [-20.40, -15.13]
4.826221e+07 [-20.76, -31.33] [-20.56, -30.33] [-20.36, -29.33]
5.010529e+07 [-20.82, -45.97] [-20.62, -44.97] [-20.42, -43.97]
5.201875e+07 [-20.85, -61.35] [-20.65, -60.35] [-20.45, -59.35]
5.400529e+07 [-20.82, -77.48] [-20.62, -76.48] [-20.42, -75.48]
5.606769e+07 [-20.87, -93.94] [-20.67, -92.94] [-20.47, -91.94]
5.820885e+07 [-20.91, -111.00] [-20.71, -110.00] [-20.51, -109.00]
6.043178e+07 [-20.81, -129.29] [-20.61, -128.29] [-20.41, -127.29]
6.273960e+07 [-20.87, -147.90] [-20.67, -146.90] [-20.47, -145.90]
6.513556e+07 [-20.90, -167.16] [-20.70, -166.16] [-20.50, -165.16]
6.762301e+07 [-20.93, 173.01] [-20.73, 174.01] [-20.53, 175.01]
7.020545e+07 [-20.93, 152.31] [-20.73, 153.31] [-20.53, 154.31]
7.288652e+07 [-20.89, 130.58] [-20.69, 131.58] [-20.49, 132.58]
7.566997e+07 [-20.91, 108.19] [-20.71, 109.19] [-20.51, 110.19]
7.855972e+07 [-20.96, 85.19] [-20.76, 86.19] [-20.56, 87.19]
8.155983e+07 [-20.92, 60.72] [-20.72, 61.72] [-20.52, 62.72]
8.467450e+07 [-20.96, 35.80] [-20.76, 36.80] [-20.56, 37.80]
8.790813e+07 [-20.95, 9.76] [-20.75, 10.76] [-20.55, 11.76]
9.126524e+07 [-20.96, -17.31] [-20.76, -16.31] [-20.56, -15.31]
9.475055e+07 [-20.97, -45.39] [-20.77, -44.39] [-20.57, -43.39]
9.836897e+07 [-20.98, -74.54] [-20.78, -73.54] [-20.58, -72.54]
1.021256e+08 [-21.02, -104.64] [-20.82, -103.64] [-20.62, -102.64]
1.060256e+08 [-21.01, -136.13] [-20.81, -135.13] [-20.61, -134.13]
1.100746e+08 [-21.02, -168.61] [-20.82, -167.61] [-20.62, -166.61]
1.142782e+08 [-21.03, 157.51] [-20.83, 158.51] [-20.63, 159.51]
1.186424e+08 [-21.05, 122.44] [-20.85, 123.44] [-20.65, 124.44]
1.231732e+08 [-21.09, 85.97] [-20.89, 86.97] [-20.69, 87.97]
1.278771e+08 [-21.08, 48.15] [-20.88, 49.15] [-20.68, 50.15]
1.327605e+08 [-21.09, 8.73] [-20.89, 9.73] [-20.69, 10.73]
1.378305e+08 [-21.13, -31.94] [-20.93, -30.94] [-20.73, -29.94]
1.430941e+08 [-21.11, -74.28] [-20.91, -73.28] [-20.71, -72.28]
1.485587e+08 [-21.12, -118.24] [-20.92, -117.24] [-20.72, -116.24]
1.542320e+08 [-21.14, -163.90] [-20.94, -162.90] [-20.74, -161.90]
1.601219e+08 [-21.18, 148.71] [-20.98, 149.71] [-20.78, 150.71]
1.662368e+08 [-21.18, 99.52] [-20.98, 100.52] [-20.78, 101.52]
1.725852e+08 [-21.20, 48.43] [-21.00, 49.43] [-20.80, 50.43]
1.791760e+08 [-21.22, -4.49] [-21.02, -3.49] [-20.82, -2.49]
1.860186e+08 [-21.22, -59.50] [-21.02, -58.50] [-20.82, -57.50]
1.931224e+08 [-21.25, -116.63] [-21.05, -115.63] [-20.85, -114.63]
2.004975e+08 [-21.26, -175.99] [-21.06, -174.99] [-20.86, -173.99]
2.081543e+08 [-21.29, 122.51] [-21.09, 123.51] [-20.89, 124.51]
2.161035e+08 [-21.30, 58.65] [-21.10, 59.65] [-20.90, 60.65]
2.243562e+08 [-21.32, -7.78] [-21.12, -6.78] [-20.92, -5.78]
2.329241e+08 [-21.34, -76.62] [-21.14, -75.62] [-20.94, -74.62]
2.418192e+08 [-21.36, -148.12] [-21.16, -147.12] [-20.96, -146.12]
2.510540e+08 [-21.37, 137.59] [-21.17, 138.59] [-20.97, 139.59]
2.606415e+08 [-21.39, 60.56] [-21.19, 61.56] [-20.99, 62.56]
2.705951e+08 [-21.42, -19.49] [-21.22, -18.49] [-21.02, -17.49]
2.809288e+08 [-21.43, -102.54] [-21.23, -101.54] [-21.03, -100.54]
2.916571e+08 [-21.46, 171.25] [-21.26, 172.25] [-21.06, 173.25]
3.027952e+08 [-21.48, 81.73] [-21.28, 82.73] [-21.08, 83.73]
3.143586e+08 [-21.51, -11.16] [-21.31, -10.16] [-21.11, -9.16]
3.263636e+08 [-21.53, -107.64] [-21.33, -106.64] [-21.13, -105.64]
3.388271e+08 [-21.55, 152.20] [-21.35, 153.20] [-21.15, 154.20]
3.517665e+08 [-21.56, 48.24] [-21.36, 49.24] [-21.16, 50.24]
3.652000e+08 [-21.59, -59.73] [-21.39, -58.73] [-21.19, -57.73]
3.791466e+08 [-21.62, -171.77] [-21.42, -170.77] [-21.22, -169.77]
3.936258e+08 [-21.64, 71.86] [-21.44, 72.86] [-21.24, 73.86]
4.086579e+08 [-21.67, -48.94] [-21.47, -47.94] [-21.27, -46.94]
4.242641e+08 [-21.69, -174.32] [-21.49, -173.32] [-21.29, -172.32]
4.404662e+08 [-21.71, 55.53] [-21.51, 56.53] [-21.31, 57.53]
4.572871e+08 [-21.74, -79.71] [-21.54, -78.71] [-21.34, -77.71]
4.747504e+08 [-21.78, 139.98] [-21.58, 140.98] [-21.38, 141.98]
4.928806e+08 [-21.80, -5.60] [-21.60, -4.60] [-21.40, -3.60]
5.117031e+08 [-21.82, -156.79] [-21.62, -155.79] [-21.42, -154.79]
5.312445e+08 [-21.85, 46.10] [-21.65, 47.10] [-21.45, 48.10]
5.515321e+08 [-21.89, -116.72] [-21.69, -115.72] [-21.49, -114.72]
5.725945e+08 [-21.92, 74.05] [-21.72, 75.05] [-21.52, 76.05]
5.944612e+08 [-21.94, -101.60] [-21.74, -100.60] [-21.54, -99.60]
6.171630e+08 [-21.96, 75.99] [-21.76, 76.99] [-21.56, 77.99]
6.407317e+08 [-22.01, -113.41] [-21.81, -112.41] [-21.61, -111.41]
6.652006e+08 [-22.04, 50.08] [-21.84, 51.08] [-21.64, 52.08]
6.906038e+08 [-22.07, -153.94] [-21.87, -152.94] [-21.67, -151.94]
7.169772e+08 [-22.09, -5.76] [-21.89, -4.76] [-21.69, -3.76]
7.443577e+08 [-22.14, 134.38] [-21.94, 135.38] [-21.74, 136.38]
7.727839e+08 [-22.15, -94.10] [-21.95, -93.10] [-21.75, -92.10]
8.022956e+08 [-22.19, 28.85] [-21.99, 29.85] [-21.79, 30.85]
8.329344e+08 [-22.25, 142.87] [-22.05, 143.87] [-21.85, 144.87]
8.647432e+08 [-22.26, -112.69] [-22.06, -111.69] [-21.86, -110.69]
8.977667e+08 [-22.32, -17.91] [-22.12, -16.91] [-21.92, -15.91]
9.320514e+08 [-22.34, 66.85] [-22.14, 67.85] [-21.94, 68.85]
9.676454e+08 [-22.38, 140.71] [-22.18, 141.71] [-21.98, 142.71]
1.004599e+09 [-22.45, -155.80] [-22.25, -154.80] [-22.05, -153.80]
1.042963e+09 [-22.47, -104.03] [-22.27, -103.03] [-22.07, -102.03]
1.082793e+09 [-22.54, -63.70] [-22.34, -62.70] [-22.14, -61.70]
1.124143e+09 [-22.53, -35.89] [-22.33, -34.89] [-22.13, -33.89]
1.167073e+09 [-22.60, -20.59] [-22.40, -19.59] [-22.20, -18.59]
1.211642e+09 [-22.64, -18.83] [-22.44, -17.83] [-22.24, -16.83]
1.257913e+09 [-22.71, -29.93] [-22.51, -28.93] [-22.31, -27.93]
1.305952e+09 [-22.73, -56.03] [-22.53, -55.03] [-22.33, -54.03]
1.355825e+09 [-22.77, -96.30] [-22.57, -95.30] [-22.37, -94.30]
1.407602e+09 [-22.84, -152.28] [-22.64, -151.28] [-22.44, -150.28]
1.461357e+09 [-22.84, 136.24] [-22.64, 137.24] [-22.44, 138.24]
1.517164e+09 [-22.90, 48.22] [-22.70, 49.22] [-22.50, 50.22]
1.575103e+09 [-22.99, -57.45] [-22.79, -56.45] [-22.59, -55.45]
1.635254e+09 [-22.98, -180.22] [-22.78, -179.22] [-22.58, -178.22]
1.697703e+09 [-23.03, 38.50] [-22.83, 39.50] [-22.63, 40.50]
1.762536e+09 [-23.16, -122.04] [-22.96, -121.04] [-22.76, -120.04]
1.829845e+09 [-23.20, 57.22] [-23.00, 58.22] [-22.80, 59.22]
1.899725e+09 [-23.21, -144.01] [-23.01, -143.01] [-22.81, -142.01]
1.972273e+09 [-23.24, -6.45] [-23.04, -5.45] [-22.84, -4.45]
2.047592e+09 [-23.28, 108.94] [-23.08, 109.94] [-22.88, 110.94]
2.125787e+09 [-23.36, -158.83] [-23.16, -157.83] [-22.96, -156.83]
2.206969e+09 [-23.46, -90.57] [-23.26, -89.57] [-23.06, -88.57]
2.291250e+09 [-23.50, -47.29] [-23.30, -46.29] [-23.10, -45.29]
2.378751e+09 [-23.62, -29.61] [-23.42, -28.61] [-23.22, -27.61]
2.469592e+09 [-23.60, -39.25] [-23.40, -38.25] [-23.20, -37.25]
2.563903e+09 [-23.67, -76.21] [-23.47, -75.21] [-23.27, -74.21]
2.661816e+09 [-23.72, -143.48] [-23.52, -142.48] [-23.32, -141.48]
2.763468e+09 [-23.94, 120.59] [-23.74, 121.59] [-23.54, 122.59]
2.869001e+09 [-24.08, -6.42] [-23.88, -5.42] [-23.68, -4.42]
2.978565e+09 [-24.04, -164.80] [-23.84, -163.80] [-23.64, -162.80]
3.092313e+09 [-24.12, -0.30] [-23.92, 0.70] [-23.72, 1.70]
3.210405e+09 [-24.36, 132.96] [-24.16, 133.96] [-23.96, 134.96]
3.333007e+09 [-24.27, -130.60] [-24.07, -129.60] [-23.87, -128.60]
3.460290e+09 [-24.65, -73.70] [-24.45, -72.70] [-24.25, -71.70]
3.592435e+09 [-24.42, -53.04] [-24.22, -52.04] [-24.02, -51.04]
3.729626e+09 [-24.90, -73.97] [-24.70, -72.97] [-24.50, -71.97]
3.872056e+09 [-24.80, -139.38] [-24.60, -138.38] [-24.40, -137.38]
4.019925e+09 [-24.57, 114.91] [-24.37, 115.91] [-24.17, 116.91]
4.173442e+09 [-24.76, -35.62] [-24.56, -34.62] [-24.36, -33.62]
4.332821e+09 [-25.03, 125.40] [-24.83, 126.40] [-24.63, 127.40]
4.498286e+09 [-25.26, -123.85] [-25.06, -122.85] [-24.86, -121.85]
4.670071e+09 [-25.37, -63.52] [-25.17, -62.52] [-24.97, -61.52]
4.848415e+09 [-25.35, -55.17] [-25.15, -54.17] [-24.95, -53.17]
5.033571e+09 [-25.39, -102.59] [-25.19, -101.59] [-24.99, -100.59]
5.225797e+09 [-25.55, 153.30] [-25.35, 154.30] [-25.15, 155.30]
5.425364e+09 [-25.99, -6.33] [-25.79, -5.33] [-25.59, -4.33]
5.632553e+09 [-25.70, 131.98] [-25.50, 132.98] [-25.30, 133.98]
5.847653e+09 [-25.92, -155.78] [-25.72, -154.78] [-25.52, -153.78]
6.070969e+09 [-25.58, -148.36] [-25.38, -147.36] [-25.18, -146.36]
6.302812e+09 [-25.87, 150.97] [-25.67, 151.97] [-25.47, 152.97]
6.543509e+09 [-26.30, 19.80] [-26.10, 20.80] [-25.90, 21.80]
6.793398e+09 [-26.10, 172.10] [-25.90, 173.10] [-25.70, 174.10]
7.052830e+09 [-26.40, -110.90] [-26.20, -109.90] [-26.00, -108.90]
7.322170e+09 [-26.50, -111.53] [-26.30, -110.53] [-26.10, -109.53]
7.601795e+09 [-26.29, 162.82] [-26.09, 163.82] [-25.89, 164.82]
7.892099e+09 [-26.67, -9.74] [-26.47, -8.74] [-26.27, -7.74]
8.193489e+09 [-26.66, 92.84] [-26.46, 93.84] [-26.26, 94.84]
8.506389e+09 [-26.98, 101.67] [-26.78, 102.67] [-26.58, 103.67]
8.831239e+09 [-26.89, 14.68] [-26.69, 15.68] [-26.49, 16.68]
9.168493e+09 [-27.03, -173.65] [-26.83, -172.65] [-26.63, -171.65]
9.518628e+09 [-26.92, -106.93] [-26.72, -105.93] [-26.52, -104.93]
9.882133e+09 [-26.80, -145.78] [-26.60, -144.78] [-26.40, -143.78]
1.025952e+10 [-26.81, 62.97] [-26.61, 63.97] [-26.41, 64.97]
1.065132e+10 [-27.33, 160.30] [-27.13, 161.30] [-26.93, 162.30]
1.105808e+10 [-27.43, 132.40] [-27.23, 133.40] [-27.03, 134.40]
1.148038e+10 [-27.24, -18.29] [-27.04, -17.29] [-26.84, -16.29]
1.191880e+10 [-27.48, 59.66] [-27.28, 60.66] [-27.08, 61.66]
1.237396e+10 [-27.66, 7.58] [-27.46, 8.58] [-27.26, 9.58]
1.284651e+10 [-27.54, 169.46] [-27.34, 170.46] [-27.14, 171.46]
1.333711e+10 [-27.41, -168.67] [-27.21, -167.67] [-27.01, -166.67]
1.384643e+10 [-27.60, 59.97] [-27.40, 60.97] [-27.20, 61.97]
1.437521e+10 [-28.05, 131.69] [-27.85, 132.69] [-27.65, 133.69]
1.492419e+10 [-27.72, 41.03] [-27.52, 42.03] [-27.32, 43.03]
1.549412e+10 [-28.31, 141.17] [-28.11, 142.17] [-27.91, 143.17]
1.608583e+10 [-28.94, 65.57] [-28.74, 66.57] [-28.54, 67.57]
1.670013e+10 [-29.09, 173.43] [-28.89, 174.43] [-28.69, 175.43]
1.733789e+10 [-28.74, 83.92] [-28.54, 84.92] [-28.34, 85.92]
1.800000e+10 [-29.15, 160.62] [-28.95, 161.62] [-28.75, 162.62]
